Fecha,Hora,Precio_COP_kWh
2023-02-03,17,791.43
2023-02-03,18,791.43
2023-02-03,19,791.43
2023-02-03,20,791.43
2023-02-03,21,791.43
2023-02-03,22,791.43
2023-02-03,23,791.37
2023-02-03,24,471.43
2023-02-04,1,784.45
2023-02-04,2,784.45
2023-02-04,3,784.45
2023-02-04,4,784.45
2023-02-04,5,784.45
2023-02-04,6,785.24
2023-02-04,7,785.24
2023-02-04,8,785.24
2023-02-04,9,785.24
2023-02-04,10,785.24
2023-02-04,11,801.74
2023-02-04,12,806.24
2023-02-04,13,801.74
2023-02-04,14,801.74
2023-02-04,15,806.24
2023-02-04,16,806.24
2023-02-04,17,801.74
2023-02-04,18,801.74
2023-02-04,19,806.24
2023-02-04,20,806.24
2023-02-04,21,806.24
2023-02-04,22,806.24
2023-02-04,23,785.24
2023-02-04,24,785.24
2023-02-05,1,782.62
2023-02-05,2,782.62
2023-02-05,3,782.62
2023-02-05,4,782.62
2023-02-05,5,782.62
2023-02-05,6,782.62
2023-02-05,7,782.62
2023-02-05,8,782.62
2023-02-05,9,805.05
2023-02-05,10,805.05
2023-02-05,11,806.05
2023-02-05,12,806.05
2023-02-05,13,806.05
2023-02-05,14,806.05
2023-02-05,15,806.05
2023-02-05,16,806.05
2023-02-05,17,806.05
2023-02-05,18,805.05
2023-02-05,19,829.05
2023-02-05,20,829.05
2023-02-05,21,829.05
2023-02-05,22,806.05
2023-02-05,23,805.05
2023-02-05,24,782.62
2023-02-06,1,787.06
2023-02-06,2,666.32
2023-02-06,3,701.82
2023-02-06,4,666.32
2023-02-06,5,666.32
2023-02-06,6,490.82
2023-02-06,7,480.82
2023-02-06,8,490.82
2023-02-06,9,666.32
2023-02-06,10,666.32
2023-02-06,11,787.06
2023-02-06,12,787.06
2023-02-06,13,830.82
2023-02-06,14,830.82
2023-02-06,15,787.06
2023-02-06,16,787.06
2023-02-06,17,787.06
2023-02-06,18,787.06
2023-02-06,19,861.82
2023-02-06,20,861.82
2023-02-06,21,861.82
2023-02-06,22,861.82
2023-02-06,23,861.82
2023-02-06,24,830.82
2023-02-07,1,125.23
2023-02-07,2,125.23
2023-02-07,3,125.23
2023-02-07,4,125.23
2023-02-07,5,125.23
2023-02-07,6,389.14
2023-02-07,7,242.2
2023-02-07,8,462.65
2023-02-07,9,501.62
2023-02-07,10,804.62
2023-02-07,11,833.62
2023-02-07,12,833.62
2023-02-07,13,804.62
2023-02-07,14,792.42
2023-02-07,15,792.42
2023-02-07,16,792.42
2023-02-07,17,792.42
2023-02-07,18,792.42
2023-02-07,19,792.42
2023-02-07,20,833.62
2023-02-07,21,833.62
2023-02-07,22,792.42
2023-02-07,23,493.62
2023-02-07,24,414.62
2023-02-08,1,502.07
2023-02-08,2,502.07
2023-02-08,3,502.07
2023-02-08,4,502.07
2023-02-08,5,502.07
2023-02-08,6,611.57
2023-02-08,7,506.57
2023-02-08,8,502.07
2023-02-08,9,757.63
2023-02-08,10,757.63
2023-02-08,11,820.57
2023-02-08,12,820.57
2023-02-08,13,801.57
2023-02-08,14,820.57
2023-02-08,15,820.57
2023-02-08,16,865.57
2023-02-08,17,820.57
2023-02-08,18,757.63
2023-02-08,19,801.57
2023-02-08,20,820.57
2023-02-08,21,820.57
2023-02-08,22,757.63
2023-02-08,23,502.07
2023-02-08,24,502.07
2023-02-09,1,489.33
2023-02-09,2,489.33
2023-02-09,3,488.33
2023-02-09,4,488.33
2023-02-09,5,489.33
2023-02-09,6,489.33
2023-02-09,7,489.33
2023-02-09,8,589.33
2023-02-09,9,619.33
2023-02-09,10,619.33
2023-02-09,11,619.33
2023-02-09,12,619.33
2023-02-09,13,619.33
2023-02-09,14,759.33
2023-02-09,15,769.33
2023-02-09,16,759.33
2023-02-09,17,756.33
2023-02-09,18,619.33
2023-02-09,19,756.33
2023-02-09,20,769.33
2023-02-09,21,756.33
2023-02-09,22,619.33
2023-02-09,23,619.33
2023-02-09,24,619.33
2023-02-10,1,488.82
2023-02-10,2,488.82
2023-02-10,3,488.82
2023-02-10,4,488.82
2023-02-10,5,488.82
2023-02-10,6,488.82
2023-02-10,7,488.82
2023-02-10,8,524.42
2023-02-10,9,559.32
2023-02-10,10,559.32
2023-02-10,11,589.82
2023-02-10,12,589.82
2023-02-10,13,589.82
2023-02-10,14,589.82
2023-02-10,15,749.32
2023-02-10,16,749.32
2023-02-10,17,589.82
2023-02-10,18,524.42
2023-02-10,19,589.82
2023-02-10,20,589.82
2023-02-10,21,589.82
2023-02-10,22,589.82
2023-02-10,23,589.82
2023-02-10,24,589.82
2023-02-11,1,519.79
2023-02-11,2,519.79
2023-02-11,3,519.79
2023-02-11,4,519.79
2023-02-11,5,519.79
2023-02-11,6,519.79
2023-02-11,7,519.79
2023-02-11,8,568.29
2023-02-11,9,568.29
2023-02-11,10,574.59
2023-02-11,11,574.59
2023-02-11,12,574.59
2023-02-11,13,574.59
2023-02-11,14,574.59
2023-02-11,15,574.59
2023-02-11,16,574.59
2023-02-11,17,574.59
2023-02-11,18,574.59
2023-02-11,19,574.59
2023-02-11,20,589.29
2023-02-11,21,574.59
2023-02-11,22,574.59
2023-02-11,23,568.29
2023-02-11,24,539.28
2023-02-12,1,553.58
2023-02-12,2,533.58
2023-02-12,3,492.58
2023-02-12,4,492.58
2023-02-12,5,465.27
2023-02-12,6,533.58
2023-02-12,7,533.58
