muestras,horas,muestras_en_horas,horas_mayoria,horas_quedan_lt23,horas_quedan_0,horas_incompletas,horas_completas,horas_adyacentes_vacia,energia_kWh,delta_kWh_quitar_muestras,inst,medidor,med,bandera
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_3q_o_5pct
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,S_3q_o_10pct
116,9,240,5,6,1,5,4,0,41.944618999519,0.6897752187853821,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,G_final_V10_f0.2_S3q
116,9,240,5,6,1,5,4,0,41.944618999519,0.6897752187853821,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,G_final_V10_f0.2_S5q
15,1,15,1,1,1,1,0,0,0.195,-0.195,Cesmag,Medidor 3 - Cesmag - electricMeter,Cesmag 3,G_solo_S3q_V10
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,V_ntc_-10+5
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,V_pm10
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,V_pm8
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,V_pm15
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,V_pm20
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,V_pm50
49,4,115,2,2,0,2,2,0,4.4542284391534395,4.486578211092866,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,f_59.8-60.2
110,42,1202,2,6,1,7,35,1,16.85860542075879,3.1556470827519285,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,f_59.9-60.1
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,f_59.7-60.3
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,f_59.5-60.5
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,f_59-61
1181,752,22510,0,2,0,30,722,0,-339.3725599672566,-8.731250491368261,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_1.5q
82,63,1890,0,0,0,0,63,0,-37.871633333333335,0.15674485495347495,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_2q
3,3,90,0,0,0,0,3,0,2.5806666666666667,-0.0409770114942527,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_3q
2,2,60,0,0,0,0,2,0,1.1656333333333333,-0.01980574712643679,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_4q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_5q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_8q
0,0,0,0,0,0,0,0,0,0.0,0.0,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_10q
82,63,1890,0,0,0,0,63,0,-37.871633333333335,0.15674485495347495,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_2q_o_2pct
79,62,1860,0,0,0,0,62,0,-37.072599999999994,-0.024679488232075053,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_2q_o_5pct
3,3,90,0,0,0,0,3,0,2.5806666666666667,-0.0409770114942527,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_3q_o_2pct
3,3,90,0,0,0,0,3,0,2.5806666666666667,-0.0409770114942527,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_3q_o_5pct
2,2,60,0,0,0,0,2,0,1.1656333333333333,-0.01980574712643679,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,S_3q_o_10pct
52,7,205,2,2,0,2,5,0,7.034895105820106,4.445601199598613,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,G_final_V10_f0.2_S3q
49,4,115,2,2,0,2,2,0,4.4542284391534395,4.486578211092866,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,G_final_V10_f0.2_S5q
3,3,90,0,0,0,0,3,0,2.5806666666666667,-0.0409770114942527,Cesmag,Medidor 4 - Cesmag - electricMeter,Cesmag 4,G_solo_S3q_V10
15764,1041,31167,510,678,156,18,1023,4,9055.974472942626,-1253.4806708421042,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,V_ntc_-10+5
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,V_pm10
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,V_pm8
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,V_pm15
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,V_pm20
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,V_pm50
4,2,60,0,0,0,0,2,0,18.423133333333332,-0.07405925925925949,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,f_59.8-60.2
68,62,1859,0,0,0,1,61,0,568.4109126436782,-0.23631737274220033,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,f_59.9-60.1
1,1,30,0,0,0,0,1,0,8.883633333333334,-0.01746091954023221,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,f_59.7-60.3
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,f_59.5-60.5
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,f_59-61
31,31,927,0,0,0,3,28,0,276.334683908046,-0.4034178981937506,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_1.5q
27,27,807,0,0,0,3,24,0,240.08118390804603,-0.39595238095237395,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_2q
24,24,717,0,0,0,3,21,0,210.47228390804597,-0.3358799671592694,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_3q
17,17,507,0,0,0,3,14,0,150.63575057471266,-0.2182087027914541,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_4q
11,11,328,0,0,0,2,9,0,96.19222758620691,-0.09803177339900948,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_5q
7,7,208,0,0,0,2,5,0,64.83176091954023,-0.0658064860426899,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_8q
3,3,89,0,0,0,1,2,0,26.743824137931036,-0.03493374384236425,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_10q
27,27,807,0,0,0,3,24,0,240.08118390804603,-0.39595238095237395,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_2q_o_2pct
15,15,447,0,0,0,3,12,0,130.6756172413793,-0.14928226600984473,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_2q_o_5pct
24,24,717,0,0,0,3,21,0,210.47228390804597,-0.3358799671592694,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_3q_o_2pct
15,15,447,0,0,0,3,12,0,130.6756172413793,-0.14928226600984473,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_3q_o_5pct
5,5,148,0,0,0,2,3,0,43.67229425287356,-0.007270853858783788,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,S_3q_o_10pct
28,26,777,0,0,0,3,23,0,228.89541724137933,-0.40993922641852887,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,G_final_V10_f0.2_S3q
15,13,388,0,0,0,2,11,0,114.61536091954025,-0.17209103265826897,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,G_final_V10_f0.2_S5q
24,24,717,0,0,0,3,21,0,210.47228390804597,-0.3358799671592694,HUDN,Medidor 1 - HUDN - electricMeter,HUDN 1,G_solo_S3q_V10
15667,1041,31165,506,673,153,21,1020,4,1296.024471593741,-187.73579919070602,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,V_ntc_-10+5
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,V_pm10
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,V_pm8
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,V_pm15
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,V_pm20
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,V_pm50
4,2,60,0,0,0,0,2,0,2.821266666666667,0.013060280970625726,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,f_59.8-60.2
66,58,1739,0,0,0,1,57,0,75.22994252873563,-0.030402775041051266,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,f_59.9-60.1
1,1,30,0,0,0,0,1,0,1.6484666666666667,-0.001432183908046003,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,f_59.7-60.3
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,f_59.5-60.5
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,f_59-61
275,203,6086,0,0,0,4,199,0,272.25617816091955,-0.4606903253196386,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_1.5q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_2q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_3q
