k,J,I,uniforme,max_exc,vol_cen,ef_aco,efvol_aco,efemp_aco,vol_aco,ef_alt,efvol_alt,efemp_alt,vol_alt,exceso_aco,exceso_alt
4691,4,1,False,1075.979439666667,1.5666333333333338,58.2111527681745,100.00000000000004,58.21115276817448,1.5666333333333342,58.21115151534642,100.00000000000476,58.21115151534365,1.5666333333334084,4.440892098500626e-16,7.460698725481053e-14
4693,3,2,False,1540.3725911336664,2.322936666666666,78.68453962656832,99.99999999999996,78.68453962656837,2.3229366666666653,78.76143371122143,100.00000000000055,78.761433711221,2.322936666666679,2.4385801755677505e-07,5.419387618754712e-05
4713,4,1,False,2351.22965,3.450333333333333,58.27699990950802,100.00000000000009,58.27699990950798,3.450333333333336,58.27699098766294,99.9999999999998,58.27699098766307,3.450333333333325,3.1086244689504387e-15,0.0
4735,4,1,False,167.26864933333334,0.2440666666666666,64.13526019602547,100.0,64.13526019602547,0.2440666666666666,64.28302286905476,100.00000000000072,64.28302286905429,0.2440666666666684,0.0,1.7763568394002505e-15
4810,4,1,False,1941.5509153333333,2.8500666666666667,58.27885556692956,99.9999999999974,58.27885556693108,2.850066666666592,58.27885160457352,99.99999999999528,58.27885160457627,2.850066666666532,0.0,0.0
4811,4,1,False,531.1096156666664,0.779633333333333,58.27847828069954,100.00000000044186,58.27847828044202,0.7796333333367779,58.27847660836615,100.0,58.27847660836615,0.779633333333333,3.4449110231093986e-12,0.0
4814,3,2,False,154.59758921023052,0.2463379310344837,69.80801769660677,99.999999999998,69.80801769660816,0.2463379310344788,69.8118445863589,99.999999999997,69.81184458636099,0.2463379310344763,4.3291609991280566e-08,7.953115862381621e-05
4815,4,1,False,2554.3569416666664,3.751166666666666,66.40032133709737,100.0,66.40032133709737,3.7511666666666654,66.46115150048081,99.99999999999946,66.46115150048117,3.751166666666646,0.0,0.0
4857,3,2,False,4399.069475241002,6.431110000000003,83.13881852724295,100.00000000000117,83.13881852724198,6.431110000000078,83.15190173997225,99.99999999999912,83.15190173997297,6.431109999999948,2.947218877974445e-07,6.679159683875557e-05
4927,3,2,False,533.53688358,0.8391,40.74008122491266,100.0000000000001,40.74008122491262,0.8391000000000008,40.74191626438818,100.00000000000058,40.741916264387946,0.8391000000000047,3.1751048568118285e-08,0.0001348112081288
4978,4,1,False,4042.563504666666,5.894066666666666,58.22351091287117,100.00000000000004,58.22351091287115,5.894066666666669,58.22350295406197,100.0,58.22350295406197,5.894066666666666,2.664535259100376e-15,0.0
4982,4,1,False,3720.273098666667,5.529866666666667,63.137947235124585,100.0,63.13794723512458,5.529866666666667,63.16428874009468,100.00000000000294,63.16428874009282,5.5298666666668295,0.0,1.6253665080512294e-13
4983,4,1,False,4535.478816,6.7416,63.17474401700378,100.0,63.17474401700378,6.7416,63.14101733217907,99.99999999999972,63.14101733217924,6.741599999999981,0.0,0.0039097980995097
5024,4,1,False,3277.5893422666663,5.344366666666666,76.7219291827151,100.0,76.7219291827151,5.344366666666666,76.695876293422,99.99999999999795,76.69587629342357,5.3443666666665575,0.0,0.0018406660357441
5047,4,1,False,259.23394499333307,0.4232666666666662,82.16631370051248,100.0,82.16631370051246,0.4232666666666663,78.9108041106531,99.99999999999962,78.91080411065342,0.4232666666666646,1.1102230246251563e-16,0.0
