k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
872,3,2,aggregate,44.183588802545856,30.556508685977736,57.81066891911397,0,2,99.99999843770388,0.8285666666666444,36.229843033139446
872,3,2,matrix,42.211123050991006,0.205305981538333,84.21694012044368,1,2,100.00000483926256,0.8285666666666746,66.72881863091447
946,3,2,aggregate,44.73097444363604,0.0841761183014037,89.37777276897067,1,2,97.7458641892922,10.706784874712575,27.804151570089797
946,3,2,matrix,41.64075994033703,1.6117381142960032e-10,83.28151988051289,1,2,99.99999999998262,10.706784874712536,83.2815198803163
951,4,1,aggregate,19.001386036319275,19.001386036319275,19.001386036319275,0,1,100.0,8.384566666666668,19.00138603631927
951,4,1,matrix,19.00138727231457,19.00138727231457,19.00138727231457,0,1,100.0,8.384566666666668,19.00138727231457
968,3,2,aggregate,43.922609681613984,0.6556690067828193,87.18955035644514,1,2,99.9999992890884,5.559999999999951,19.881421242663823
968,3,2,matrix,40.86814273986331,1.6355207204854984e-10,81.73628547956308,1,2,100.00000074181604,5.560000000000003,63.57645996135008
998,4,1,aggregate,17.18587906065029,17.18587906065029,17.18587906065029,0,1,100.0,6.128233333333334,17.185879060650294
998,4,1,matrix,17.185868638146744,17.185868638146744,17.185868638146744,0,1,100.0,6.128233333333334,17.185868638146744
1110,1,4,aggregate,74.80078606171553,70.85845203882899,76.11490889210599,0,4,94.8205692055536,0.044641044874388,74.72899278822632
1110,1,4,matrix,74.80078532981537,70.85849150297071,76.11497033789499,0,4,94.82057969782204,0.044641044874388,74.7289845210386
1120,2,3,aggregate,63.42552915841543,43.509790754671634,100.0,1,3,96.35377317102056,3.721912715105524,47.565763142071866
1120,2,3,matrix,62.86761145538845,4.0996609931818225e-10,99.84237829020398,2,3,98.1521061797168,3.7219127151055136,97.05593371537658
1188,4,1,aggregate,19.265911626387556,19.265911626387556,19.265911626387556,0,1,100.0,7.523299999999997,19.26591162638756
1188,4,1,matrix,19.26591397047534,19.26591397047534,19.26591397047534,0,1,100.0,7.523299999999999,19.265913970475346
1259,3,2,aggregate,43.1838801168192,41.637627630032746,44.73013260360564,0,2,96.5423675996345,3.249294257052153,43.128478109349125
1259,3,2,matrix,41.63729800689794,0.0012764593793784,83.27331955441652,1,2,99.99393329687253,3.2492942570521293,83.20531451128768
